ContractorId,Contractor,ContractNumber,EffectiveDate
1,"Ablegov, Inc",16-70-0090K,11/1/2016
2,"Ablegov, Inc",16-70-0090K,11/1/2016
3,"Ablegov, Inc",16-70-0090K,11/1/2016
4,"Ablegov, Inc",16-70-0090K,11/1/2016
5,"Ablegov, Inc",16-70-0090K,11/1/2016
6,"Ablegov, Inc",16-70-0090K,11/1/2016
7,"Ablegov, Inc",16-70-0090K,11/1/2016
8,"Ablegov, Inc",16-70-0090K,11/1/2016
9,NWN,1-13-70-02A,8/5/2015
10,NWN,1-13-70-02A,8/5/2015
11,NWN,1-13-70-02A,8/5/2015
12,NWN,1-13-70-02A,8/5/2015
13,NWN,1-13-70-02A,8/5/2015
14,NWN,1-13-70-02A,8/5/2015
15,NWN,1-13-70-02A,8/5/2015
16,NWN,1-13-70-02A,8/5/2015
17,NWN,1-13-70-02A,8/5/2015
18,NWN,1-13-70-02A,8/5/2015
19,NWN,1-13-70-02A,8/5/2015
20,NWN,1-13-70-02A,8/5/2015
21,NWN,1-13-70-02A,8/5/2015
22,NWN,1-13-70-02A,8/5/2015
23,NWN,1-13-70-02A,8/5/2015
24,NWN,1-13-70-02A,8/5/2015
25,NWN,1-13-70-02A,8/5/2015
26,NWN,1-13-70-02A,8/5/2015
27,NWN,1-13-70-02A,8/5/2015
28,NWN,1-13-70-02A,8/5/2015
29,NWN,1-13-70-02A,8/5/2015
30,NWN,1-13-70-02A,8/5/2015
31,NWN,1-13-70-02A,8/5/2015
32,NWN,1-13-70-02A,8/5/2015
33,NWN,1-13-70-02A,8/5/2015
34,NWN,1-13-70-02A,8/5/2015
35,NWN,1-13-70-02A,8/5/2015
36,NWN,1-13-70-02A,8/5/2015
37,NWN,1-13-70-02A,8/5/2015
38,NWN,1-13-70-02A,8/5/2015
39,NWN,1-13-70-02A,8/5/2015
40,NWN,1-13-70-02A,8/5/2015
41,NWN,1-13-70-02A,8/5/2015
42,NWN,1-13-70-02A,8/5/2015
43,NWN,1-13-70-02A,8/5/2015
44,NWN,1-13-70-02A,8/5/2015
45,NWN,1-13-70-02A,8/5/2015
46,NWN,1-13-70-02A,8/5/2015
