Contractor,Contract_Number,Effective_Date,Contract Line Item Number (CLIN),UNSPSC Code (Version 11),Manufacturer_Part_Number,Manufacturer,SKUNum_ItemNum,Item_Name,Item_Description,Unit_of_Measure,Quantity_in_Unit_of_Measure,List_Price_MSRP,Contract_Unit_Price,Contract_Discount,Front_End_Category,Category,Sub_Category,defaultImageId,NewImageName,AmazonProductID,AmazonNumOfStars,IS DUPLICATE,popular
"Ablegov, Inc",16-70-0090K,11/1/2016,,,65193100AC02A24,Adobe,L8Z96AV,Adobe Photoshop & Premiere Elements 2 Year License (1 User),"Adobe Photoshop & Premiere Elements ALL New Upgrade Plan 24 Months 2Y  1 User, Level 2 CLP (CLP # Required)",Each,1,$42.00 ,$35.70 ,0.35,Software,Options / Upgrades,"Options/Upgrade Standard, Power Laptops 632",13131,101,B01KICI37Q,0,,TRUE
"Ablegov, Inc",16-70-0090K,11/1/2016,,,65196377AC02A12,Adobe,L8Z96AV,Adobe Acrobat Professional 1 Year License (1 User),"Adobe Acrobat Professional ALL New Upgrade Plan 12 Months 1Y  1 User, Level 2 CLP (CLP # Required)",Each,1,$50.00 ,$46.20 ,0.35,Software,Options / Upgrades,"Options/Upgrade Standard, Power Laptops 633",13131,101,B01MZ3OE55,0,,TRUE
"Ablegov, Inc",16-70-0090K,11/1/2016,,,65237524AC02A00,Adobe,L8Z96AV,Adobe Lightroom 6 (1 User),"Adobe Lightroom 6 License 1 User, Level 2 CLP (CLP # Required)",Each,1,$139.00 ,$126.00 ,0.35,Software,Options / Upgrades,"Options/Upgrade Standard, Power Laptops 634",13131,109,B00VWCKJVA,0,,TRUE
"Ablegov, Inc",16-70-0090K,11/1/2016,,,65258474AC02A00,Adobe,L8Z96AV,"Adobe Acrobat Standard DC 2015 (1 User, Windows)","Adobe Acrobat Standard DC 2015 Windows License 1 User, Level 2 CLP (CLP # Required)",Each,1,$219.00 ,$204.75 ,0.35,Software,Options / Upgrades,"Options/Upgrade Standard, Power Laptops 635",13131,109,B00VGR0HMW,0,,TRUE
"Ablegov, Inc",16-70-0090K,11/1/2016,,,65258634AC02A00,Adobe,L8Z96AV,Adobe Acrobat Pro DC 2015 (1 User),"Adobe Acrobat Pro DC 2015 License 1 User, Level 2 CLP (CLP # Required)",Each,1,$328.00 ,$306.60 ,0.35,Software,Options / Upgrades,"Options/Upgrade Standard, Power Laptops 636",13131,108,B00V8XO98C,0,,TRUE
"Ablegov, Inc",16-70-0090K,11/1/2016,,,65263776AC00A00,Adobe,L8Z96AV,"Adobe Photoshop Elements 14 DVD Set (1 User, Multiple Platforms)","Adobe Photoshop Elements 14 Multiple Platforms DVD Set , 1 User, CLP (CLP # Required)",Each,1,$20.00 ,$15.75 ,0.35,Software,Options / Upgrades,"Options/Upgrade Standard, Power Laptops 637",13131,106,B014GP8XGM,0,,TRUE
"Ablegov, Inc",16-70-0090K,11/1/2016,,,65264067AC00A00,Adobe,L8Z96AV,"Adobe Premiere Elements 14 DVD Set (1 User, Multiple Platforms)","Adobe Premiere Elements 14 Multiple Platforms DVD Set , 1 User, CLP (CLP # Required)",Each,1,$20.00 ,$15.75 ,0.35,Software,Options / Upgrades,"Options/Upgrade Standard, Power Laptops 638",13131,107,B014GP8UU6,0,,TRUE
"Ablegov, Inc",16-70-0090K,11/1/2016,,,65264935AC02A00,Adobe,L8Z96AV,"Adobe Presenter 11 (1 User, Windows)",Adobe Presenter Licensed 11 Windows 1 User Level 2 CLP (CLP # Required),Each,1,$465.00 ,$434.70 ,0.35,Software,Options / Upgrades,"Options/Upgrade Standard, Power Laptops 639",13131,103,B016YK2K0M,0,,TRUE
NWN,1-13-70-02A,8/5/2015,1097,43211500,L8Z96AV,HP,L8Z96AV,Blu-ray ROM DVD+/-RW SuperMulti DL Drive,Blu-ray ROM DVD+/-RW SuperMulti DL Drive,Each,1,$119.00 ,$77.35 ,0.35,Components,Options / Upgrades,"Options/Upgrade Standard, Power Laptops 640",13131,104,B00I4AE82E,0,,TRUE
NWN,1-13-70-02A,8/5/2015,1061-A,43211500,A896049,HP,A896049,USB Ergonomic Keyboard,USB Ergonomic Keyboard,Each,1,$35.00 ,$22.75 ,0.35,Peripherals,Options / Upgrades,Options/Upgrade All Laptops,13131,108,B004SUIM4E,0,,TRUE
