Contractor,Contract_Number,Effective_Date,Contract Line Item Number (CLIN),UNSPSC Code (Version 11),ManufacturerPartNumber,Manufacturer,SKU_Item_num,Item_Name,Item_Description,Unit_of_Measure,Quantity_in_Unit_of_Measure,List_Price_MSRP,Contract_Unit_Price,Contract_Discount,Front_End_Category,Category,SubCategory,NewImageName,AmazonProductID,IS DUPLICATE,defaultImageId
TIG,1-13-70-01B,5/5/2016,203a,,210-AFGG,DELL,210-AFGG,Dell Optiplex 7040 Micro,"Power-Dell Optiplex 7040 Micro - Core i7-6700T, 2.8GHz, 8GB 2 DIMMs 2133Mhz DDR4, Windows 7 Pro (64-bit), integrated Intel 530 Graphics, 500GB SATA II 7200RPM, USB Optical Wheel Mouse, USB Keyboard, 3-Year Next Business Day On- Site Warranty",Each,1,1237.29,544.41,0.56,Desktop,CONFIGURATION (HARDWARE),Power Desktop Hardware,6523,B01INXZMDU,,6523
TIG,1-13-70-01B,5/5/2016,430a,,210-AFGK,DELL,210-AFGK,Dell Optiplex 7040 SFF,"Power-Dell Optiplex 7040 SFF - Core i7-6700, 3.4GHz, 8GB 2 DIMMs 1600Mhz DDR4, Windows 7 Pro (64-bit), integrated Intel HD Graphics, DVD +/- RW, 500GB SATA II 7200RPM,
USB Optical Wheel Mouse, USB Keyboard, 90% Efficient Power Supply, 3-Year Next Business Day On-Site Warranty",EACH,1,1354.43,595.95,0.56,Desktop,CONFIGURATION (HARDWARE),Power Desktop Hardware,6516,B01BHSL020,,6516
TIG,1-13-70-01B,5/5/2016,202c,,210-AFID,DELL,210-AFID,Dell Optiplex 5040 MT,"Power-Dell Optiplex 5040 MT - Core i7-6700, 3.4GHz, 8GB 2 DIMMs 1600Mhz DDR3L, Windows 7 Pro (64-bit), integrated Intel HD Graphics, DVD +/- RW, 500GB SATA II 7200RPM,
USB Optical Wheel Mouse, USB Keyboard, 90% Efficient Power Supply, 3-Year Next Business Day On-Site Warranty",EACH,1,1315.86,578.98,0.56,Desktop,CONFIGURATION (HARDWARE),Standard Desktop Hardware,6529,B01M5ISA5T,,6529
TIG,1-13-70-01B,5/5/2016,200c,,210-AFIF,DELL,210-AFIF,Dell Optiplex 5040 SFF,"Power-Dell Optiplex 5040 SFF - Core i7-6700, 3.4GHz, 8GB 2 DIMMs 1600Mhz DDR3L, Windows 7 Pro (64-bit), integrated Intel HD Graphics, DVD +/- RW, 500GB SATA II 7200RPM,
USB Optical Wheel Mouse, USB Keyboard, 90% Efficient Power Supply, 3-Year Next Business Day On-Site Warranty",EACH,1,1295.86,570.18,0.56,Desktop,CONFIGURATION (HARDWARE),Power Desktop Hardware,6518,B0180O70R8,,6518
TIG,1-13-70-01B,5/5/2016,500d,,"210-AFLX, 575-BHQ",DELL,210-AFLX,"All-in-One - Dell Optiplex 7440 AIO - Core i5-6500 3.2GHz, 4GB DDR4 1DIMM 2133MHz, Windows Pro 64-bit, Intel integrated HD Graphics, DVD+/- RW, 500GB SATA III 7200RPM, USB Optical Wheel Mouse, USB Keyboard, 23"" Widescreen LED touchscreen monitor, 3-Year Next Business Day On-Site Warranty","All-in-One - Dell Optiplex 7440 AIO - Core i5-6500 3.2GHz, 4GB DDR4 1DIMM 2133MHz, Windows Pro 64-bit, Intel integrated HD Graphics, DVD+/- RW, 500GB SATA III 7200RPM, USB Optical Wheel Mouse, USB Keyboard, 23"" Widescreen LED touchscreen monitor, 3-Year Next Business Day On-Site Warranty",EACH,1,1722.29,757.81,0.56,Desktop,CONFIGURATION (HARDWARE),All in One Hardware,6517,B017YUB9GM,,6517
TIG,1-13-70-02B,11/4/2016,300e,43211500,210-AFQD,DELL,210-AFQD,Dell Latitude E7470,"Ultralight - Dell Latitude E7470 - i5-6200U, 2.3GHz, 4GB DDR4- 2133MHz 1DIMM, Windows 10 Pro 64-bit  (Windows 7 Compatible), 128GB SATA III Solid State HD, Intel Integrated Graphics Card, 14"" HD Widescreen Integrated Wireless, Bluetooth, 4-Cell Battery, 3-Year NDB Onsite Warranty",EACH,1,1920.23,864.1,0.55,Laptops,Ultralight Laptop Configuration,Ultralight Laptop Config,6514,B01MUWZRSW,,6514
TIG,1-13-70-02B,11/4/2016,300d,43211500,210-AFTT,DELL,210-AFTT,Dell Latitude E7270,"Ultralight - Dell Latitude E7270 - i5-6200U, 2.3GHz, 4GB DDR4- 2133MHz 1DIMM, Windows 10 Pro 64-bit (Windows 7 Compatible), 128GB SATA III Solid State HD, Intel Integrated Graphics Card, 12.5"" HD Widescreen Integrated Wireless, Bluetooth, 4-Cell Battery, 3-Year NDB Onsite Warranty",EACH,1,1947.8,876.51,0.55,Laptops,Ultralight Laptop Configuration,Ultralight Laptop Config,6531,B01I2BM1GO,,6531
TIG,1-13-70-02B,11/4/2016,100d,43211500,210-AFTZ,DELL,210-AFTZ,Dell Latitude E5470,"Standard - Dell Latitude E5470 - i5-6200U, 2.3GHz, 4GB DDR4- 2133MHz 1DIMM, Windows 10 Pro 64-bit (Windows 7 Compatible), 500GB SATA II 7200RPM, Intel Integrated Graphics Card, 14.0"" HD Widescreen, Integrated Wireless, Bluetooth,  4-Cell Battery, 3 -Year NBD Onsite Warranty",EACH,1,1624.09,730.84,0.55,Laptops,Standard Laptop Configuration,Standard Laptop Config,6534,B01BVXCURU,,6534
TIG,1-13-70-02B,11/4/2016,200d,43211500,210-AFTZP,DELL,210-AFTZP,Dell Latitude E5470,"Power - Dell Latitude E5470 - i5-6200U, 2.3GHz, 8GB DDR4- 2133MHz 2DIMM, Windows 10 Pro 64-bit (Windows 7 Compatible), 500GB SATA II 7200RPM, Intel Integrated Graphics Card, 14.0"" HD Widescreen, Integrated Wireless, Bluetooth,  4-Cell Battery, 3 -Year NBD Onsite Warranty",EACH,1,1699.09,764.59,0.55,Laptops,Power Laptop Configuration,Power Laptop Config,6527,B01LWPHFGC,,6527
TIG,1-13-70-02B,11/4/2016,100e,43211500,210-AFUD,DELL,210-AFUD,Dell Latitude E5570,"Standard - Dell Latitude E5570 - i5-6300U, 2.4GHz, 4GB DDR4- 2133MHz 1DIMM, Windows 10 Pro 64-bit (Windows 7 Compatible), 500GB SATA II 7200RPM, Intel Integrated Graphics Card, 15.6"" HD Widescreen, Integrated Wireless, Bluetooth,  4-Cell Battery, 3 -Year NBD Onsite Warranty",EACH,1,1664.09,748.84,0.55,Laptops,Standard Laptop Configuration,Standard Laptop Config,6525,B01N6ZD6K0,,6525
TIG,1-13-70-01B,5/5/2016,106a,,210-AFXJ,DELL,210-AFXJ,Dell Optiplex 3040 Micro,"Standard-Dell Optiplex 3040 Micro – Core i5-6500T, 2.5GHz, 4GB 1DIMM 1600MHz DDR3L, Windows 7 Pro (32/64 bit), integrated Intel HD Graphics 530, 500GB SATA 7200rpm, USB Optical Wheel Mouse, USB Keyboard, 3-Year Next Business Day On-Site Warranty",EACH,1,930.43,409.39,0.56,Desktop,CONFIGURATION (HARDWARE),Standard Desktop Hardware,6524,B019HQA2EQ,,6524
TIG,1-13-70-01B,5/5/2016,100d,,210-AFXK,DELL,210-AFXK,Dell Optiplex 3040 SFF,"Standard-Dell Optiplex 3040 SFF – Core i5-6500, 3.20GHz, 4GB 1DIMM 1600MHz DDR3L, Windows 7 Pro (32/64 bit), integrated Intel HD Graphics, DVD+/- RW, 500GB SATA 7200rpm, USB Optical Wheel Mouse, USB Keyboard, 3-Year Next Business Day On-Site Warranty",EACH,1,1013.71,446.03,0.56,Desktop,CONFIGURATION (HARDWARE),Standard Desktop Hardware,6519,B019HQAL88,,6519
TIG,1-13-70-01B,5/5/2016,102d,,210-AFXL,DELL,210-AFXL,Dell Optiplex 3040 MT,"Standard-Dell Optiplex 3040 MT – Core i5-6500, 3.20GHz, 4GB 1DIMM 1600MHz DDR3L, Windows 7 Pro (32/64 bit), integrated Intel HD Graphics 530, DVD+/- RW, 500GB SATA 7200rpm, USB Optical Wheel Mouse, USB Keyboard, 3-Year Next Business Day On-Site Warranty",EACH,1,1013.71,446.03,0.56,Desktop,CONFIGURATION (HARDWARE),Standard Desktop Hardware,6522,B019HQAAUC,,6522
