Product Id,Contractor Id,:TYPE
1,1,fromContractor
2,2,fromContractor
3,3,fromContractor
4,4,fromContractor
5,5,fromContractor
6,6,fromContractor
7,7,fromContractor
8,8,fromContractor
9,9,fromContractor
10,10,fromContractor
11,11,fromContractor
12,12,fromContractor
13,13,fromContractor
14,14,fromContractor
15,15,fromContractor
16,16,fromContractor
17,17,fromContractor
18,18,fromContractor
19,19,fromContractor
20,20,fromContractor
21,21,fromContractor
22,22,fromContractor
23,23,fromContractor
24,24,fromContractor
25,25,fromContractor
26,26,fromContractor
27,27,fromContractor
28,28,fromContractor
29,29,fromContractor
30,30,fromContractor
31,31,fromContractor
32,32,fromContractor
33,33,fromContractor
34,34,fromContractor
35,35,fromContractor
36,36,fromContractor
37,37,fromContractor
38,38,fromContractor
39,39,fromContractor
40,40,fromContractor
41,41,fromContractor
42,42,fromContractor
43,43,fromContractor
44,44,fromContractor
45,45,fromContractor
46,46,fromContractor
47,47,fromContractor
48,48,fromContractor
49,49,fromContractor
50,50,fromContractor
51,51,fromContractor
52,52,fromContractor
53,53,fromContractor
54,54,fromContractor
55,55,fromContractor
56,56,fromContractor
57,57,fromContractor
58,58,fromContractor
59,59,fromContractor
60,60,fromContractor
61,61,fromContractor
62,62,fromContractor
63,63,fromContractor
64,64,fromContractor
65,65,fromContractor
66,66,fromContractor
67,67,fromContractor
68,68,fromContractor
69,69,fromContractor
70,70,fromContractor
71,71,fromContractor
72,72,fromContractor
73,73,fromContractor
74,74,fromContractor
75,75,fromContractor
76,76,fromContractor
77,77,fromContractor
78,78,fromContractor
79,79,fromContractor
80,80,fromContractor
81,81,fromContractor
82,82,fromContractor
83,83,fromContractor
84,84,fromContractor
85,85,fromContractor
86,86,fromContractor
87,87,fromContractor
88,88,fromContractor
89,89,fromContractor
90,90,fromContractor
91,91,fromContractor
92,92,fromContractor
93,93,fromContractor
94,94,fromContractor
95,95,fromContractor
96,96,fromContractor
97,97,fromContractor
98,98,fromContractor
99,99,fromContractor
100,100,fromContractor
101,101,fromContractor
102,102,fromContractor
103,103,fromContractor
104,104,fromContractor
105,105,fromContractor
106,106,fromContractor
107,107,fromContractor
108,108,fromContractor
109,109,fromContractor
110,110,fromContractor
111,111,fromContractor
112,112,fromContractor
113,113,fromContractor
114,114,fromContractor
115,115,fromContractor
116,116,fromContractor
117,117,fromContractor
118,118,fromContractor
119,119,fromContractor
120,120,fromContractor
121,121,fromContractor
122,122,fromContractor
123,123,fromContractor
124,124,fromContractor
125,125,fromContractor
126,126,fromContractor
127,127,fromContractor
128,128,fromContractor
129,129,fromContractor
130,130,fromContractor
131,131,fromContractor
132,132,fromContractor
133,133,fromContractor
134,134,fromContractor
135,135,fromContractor
136,136,fromContractor
137,137,fromContractor
138,138,fromContractor
139,139,fromContractor
140,140,fromContractor
141,141,fromContractor
142,142,fromContractor
143,143,fromContractor
144,144,fromContractor
145,145,fromContractor
146,146,fromContractor
147,147,fromContractor
148,148,fromContractor
149,149,fromContractor
150,150,fromContractor
151,151,fromContractor
152,152,fromContractor
153,153,fromContractor
154,154,fromContractor
155,155,fromContractor
156,156,fromContractor
157,157,fromContractor
158,158,fromContractor
159,159,fromContractor
160,160,fromContractor
161,161,fromContractor
162,162,fromContractor
163,163,fromContractor
164,164,fromContractor
165,165,fromContractor
166,166,fromContractor
167,167,fromContractor
168,168,fromContractor
169,169,fromContractor
170,170,fromContractor
171,171,fromContractor
172,172,fromContractor
173,173,fromContractor
174,174,fromContractor
175,175,fromContractor
176,176,fromContractor
177,177,fromContractor
178,178,fromContractor
179,179,fromContractor
180,180,fromContractor
181,181,fromContractor
182,182,fromContractor
183,183,fromContractor
184,184,fromContractor
185,185,fromContractor
186,186,fromContractor
187,187,fromContractor
188,188,fromContractor
189,189,fromContractor
190,190,fromContractor
191,191,fromContractor
192,192,fromContractor
193,193,fromContractor
194,194,fromContractor
195,195,fromContractor
196,196,fromContractor
197,197,fromContractor
198,198,fromContractor
